id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
1,Web Development Project,web-development-project,Looking for a web developer to create a responsive website.,"[""HTML"", ""CSS"", ""JavaScript"", ""PHP""]",3000.0,45,"[""project_details.pdf""]",1,3,,open,remote,,,,,
2,Mobile App Development,mobile-app-development,Developing an iOS and Android app for our company.,"[""Swift"", ""Kotlin"", ""Firebase"", ""React Native""]",5000.0,60,"[""app_wireframes.pdf"", ""design_specifications.docx""]",2,2,open,closed,on-site,-118.2437,34.0522,"Los Angeles, CA, USA",,2024-05-13 14:38:24
3,Graphic Design Project,graphic-design-project,Designing a company logo and branding materials.,"[""Adobe Illustrator"", ""Adobe Photoshop"", ""Typography""]",1500.0,30,,3,3,,0,0,,,,,
4,Build a Website,build-a-website,Looking for a skilled developer to build a responsive website.,"[""HTML"", ""CSS"", ""JavaScript"", ""PHP""]",2000.0,30,"[""design_mockup.jpg"", ""project_requirements.pdf""]",2,1,Done,open,remote,123.456,78.91,"123 Main Street, City, Country",2024-05-12 15:55:05,2024-05-12 23:41:51
5,want web developer,want-web-developer,want web dev,"[""js""]",6000.0,40,,2,2,open,closed,on-site,31.098363777495024,29.966956276313073,tersa,2024-05-12 22:40:16,2024-05-12 23:17:56
6,want plumber,want-plumber,want fixes in bathroom,"[""plumbing""]",1500.0,1,,2,14,hired,closed,on-site,31.10143402215741,29.97114615861535,tersa,2024-05-12 23:54:12,2024-05-12 23:55:21
10,Chief Financial Officer,,AMERIA Investment Consulting Company is seeking a Chief Financial Officer. This position manages the company's fiscal and administrative functions provides highly responsible and technically complex staff assistance to the Executive Director. The work performed requires a high level of technical proficiency in financial management and investment management as well as management supervisory and administrative skills.,,100.0,10,,1,1,,open,remote,,,,,
11,Country Coordinator,,Public outreach and strengthening of a growing network of environmental NGOs businesses international organizations and public agencies. Will serve as primary contact between CENN and public. This is a full-time position.,,100.0,10,,1,1,,open,remote,,,,,
12,BCC Specialist,,The LEAD Local Enhancement and Development for Health BCC Specialist will apply state-of-the-art approaches in working with LGUs Local Government Units and NGOs to help them to identify and address provider-caused barriers to service provision as well as to identify and address supports for good service delivery by developing tools that may be adapted to each LGU's needs. he will work with LEAD staff across all components to support quality service delivery and will also monitor implementation of improved service delivery in LGUs and will provide additional assistance to LGUs and NGOs as needed. he will collect all relevant published and grey literature documents identify gaps in knowledge and work with NGOs and consultants to fill in the gaps. he will establish training for NGOs and LGU administration staff pursuing service enhancement and provider behavior change and will oversee the training. he will serve as the Project's primary liaison to TSAP and other projects and organizations working in behavior change.,,100.0,10,,1,1,,open,remote,,,,,
13,Saleswoman,,Saleswoman will sell menswear and accessories.,,100.0,10,,1,1,,open,remote,,,,,
14,Chief Accountant/ Finance Assistant,,The Armenian Branch Office of the Open Society Institute Assistance Foundation is seeking applications for the position of Chief Accountant/ Finance Assistant. The Chief Accountant/ Finance Assistant will be responsible for all transactions connected with grant payments administrative expenses.,,100.0,10,,1,1,,open,remote,,,,,
15,"Program Assistant (INL), FSN-8; FP-6*",,The incumbent assists in coordinating INL-funded law enforcement and drug control programs in Armenia including training programs supported and implemented by US Agencies to avoid duplication of effort with other programs and to ensure that assistance from various USG agencies is complementary. Additionally assists on coordinating US mission activities in the crime and narcotics area with other donors like the United Nations Non Governmental organizations and other international donors. A copy of the complete position description listing all duties and responsibilities is available in the Human Resources Office. Contact number: 3741 52-46-61,,100.0,10,,1,1,,open,remote,,,,,
16,Chief of Party (COP),,ISC seeks an experienced and creative Chief of Party COP to direct a multi-component project in Uzbekistan Tajikistan and Kyrgyzstan that will promote organizational strengthening and improve the technical capabilities of water users associations WUAs to bring economic and environmental benefits to rural citizens. The COP will oversee programs that provide grants technical assistance and institutional development training; and a small infrastructure improvements program. Coordination with other USAID project activities will be an important aspect of the project as will the development of agricultural-related functions for the WUAs and will be designed so as to maximize agribusiness assistance for WUAs and their members.,,100.0,10,,1,1,,open,remote,,,,,
17,"Community Development, Capacity Building and Conflict",,Food Security Regional Cooperation and Stability Programme in South Caucasus FRCS is seeking applications for the position of Community Development Capacity Building and Conflict Management Consultant.,,100.0,10,,1,1,,open,remote,,,,,
18,Country Economist (NOB),,The United Nations Development Programme in Armenia announces opening for the position of  Country Economist.,,100.0,10,,1,1,,open,remote,,,,,
19,Driver/ Logistics Assistant,,Driver/ Logistics Assistant is a full-time national staff position based in CHAP Yerevan office. Five day work week.,,100.0,10,,1,1,,open,remote,,,,,
20,Graphic Designer,,"The position of Graphic Designer GD demands a proven successful experience in the field of ""new media"". The design and communication concepts that you have created since completing your studies are proving to be popular.",,100.0,10,,1,1,,open,remote,,,,,
21,Administrative Assistant,,This is an excellent opportunity for the right person to join CUTS Centre for International Trade Economics and Environment London. CUTS Consumer Unity & Trust Society is a charitable organisation with its headquarters in Jaipur India working at the local national regional and international levels and has recently opened an office in London. The London office will coordinate and manage research and advocacy work on trade and economic issues and will also support other offices of CUTS by raising funds organising events etc. The organisation is concerned with the impact of international trade and economic regime on developing countries and advocates for the poor at different levels. The position will involve providing support for all these activities. Applicants must have experience in office administration.,,100.0,10,,1,1,,open,remote,,,,,
22,Marketing Advisor,,The Marketing Advisor will lead the project in identifying and developing market opportunities helping to develop Georgian capacity to structure deals nurture the commercial skills of existing entrepreneurs attract investment partners and facilitate increased agribusiness activities. The Marketing Advisor will be based in Tbilisi Georgia with extensive travel throughout Georgia and the surrounding region.,,100.0,10,,1,1,,open,remote,,,,,
23,Chief/ Supervisor of Programs Department,,The candidate will work for the promotion and development of the company's activities. The Supervisor will also work in close collaboration with special departments and be responsible for their monitoring. The candidate will supervise and organize programs develop work plans and perform other duties project requires.,,100.0,10,,1,1,,open,remote,,,,,
24,Journalism Trainer,,Media Diversity Institute MDI is looking for an experienced Journalism Trainer from Armenia to participate as a co-trainer in a three-day workshop for journalists on diversity reporting. The training programme has been developed by Media Diversity Institute. The workshop will focus on the full and objective coverage of both the majority and minorities - using both international and local examples and trainers. Workshop sessions using a mixture of theory and practical exercises will focus on the way the media covers diversity issues and how it could improve that coverage. Training will be conducted from February 16 to February 18 in Yerevan. All the costs related to participation are covered by organizers of the event.,,100.0,10,,1,1,,open,remote,,,,,
